"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2005","28.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2006","28.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2007","27.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2008","28.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2009","29.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2010","29.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2011","30.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2012","30.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2013","30.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2014","30.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2015","30.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2016","31.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2017","31.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2018","31.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2019","30.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","008","ALB","Albania","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","020","AND","Andorra","2005","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","020","AND","Andorra","2006","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","020","AND","Andorra","2007","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","020","AND","Andorra","2008","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","020","AND","Andorra","2009","..",
