"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2005","24.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2006","25.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2007","25.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2008","25.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2009","25.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2010","25.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2011","24.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2012","24.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2013","24.4",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2014","25.6",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2015","..",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2016","26.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2017","26.1",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2018","26.4",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","008","ALB","Albania","2019","26.4",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2005","..",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2006","..",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2007","..",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2008","..",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2009","..",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2010","31.3",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2011","31.8",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2012","32.3",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2013","32.3",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2014","32.5",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2015","32.7",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2016","33.3",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2017","32.9",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2018","33.2",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","020","AND","Andorra","2019","32.8",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2005","22.7",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2006","22.9",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2007","23.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2008","23.1",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2009","23.0",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2010","23.3",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2011","23.5",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2012","23.8",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2013","24.1",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2014","24.3",
"34","Mean age of women at birth of first child","Mean age of women at birth of first child","Years","051","ARM","Armenia","2015","24.4",
